Designator,Value,Manufacturer,MPN,Footprint,JLCPCB Part #,Assembly,Catalog source,Assembly status
C10,22uF 25V tantalum +/-10%,Kyocera AVX,TPSD226K025R0200,Eltec_Master:CP_EIA-7343-31_Kemet-D,C284839,SMT,https://jlcpcb.com/partdetail/KyoceraAVX-TPSD226K025R0200/C284839,JLC Extended; SMT Assembly; Economic and Standard; allocation unconfirmed
C11,22uF 25V X7R +/-10%,Murata,GRM32ER71E226KE15L,Eltec_Master:C_1210_3225Metric,C21397,SMT,https://www.lcsc.com/product-detail/C21397.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
C12,820uF 6.3V polymer +/-20%,Nichicon,PCJ0J821MCL4GS,Eltec_Master:CP_Elec_8x11.9,C2161767,SMT,https://www.lcsc.com/product-detail/C2161767.html,LCSC exact MPN and manufacturer identity verified; JLC assembly match and allocation unconfirmed
C13,22uF 25V X7R +/-10%,Murata,GRM32ER71E226KE15L,Eltec_Master:C_1210_3225Metric,C21397,SMT,https://www.lcsc.com/product-detail/C21397.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
C14,100nF 5% C0G,Murata,GRM31C5C1H104JA01K,Eltec_Master:C_1206_3216Metric,C398933,SMT,https://www.lcsc.com/product-detail/C398933.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
C15,100nF 50V 5% C0G,Murata,GRM31C5C1H104JA01K,Eltec_Master:C_1206_3216Metric,C398933,SMT,https://www.lcsc.com/product-detail/C398933.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
C16,100nF 50V X7R,Samsung Electro-Mechanics,CL10B104KB8NNNC,Eltec_Master:C_0603_1608Metric,C1591,SMT,https://www.lcsc.com/product-detail/C1591.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
C17,4.7uF 25V X7R,Samsung Electro-Mechanics,CL21B475KAFNNNE,Eltec_Master:C_0805_2012Metric,C98195,SMT,https://www.lcsc.com/product-detail/C98195.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
C18,4.7uF 25V X7R,Samsung Electro-Mechanics,CL21B475KAFNNNE,Eltec_Master:C_0805_2012Metric,C98195,SMT,https://www.lcsc.com/product-detail/C98195.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
C19,100nF 50V X7R,Samsung Electro-Mechanics,CL10B104KB8NNNC,Eltec_Master:C_0603_1608Metric,C1591,SMT,https://www.lcsc.com/product-detail/C1591.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
