Comment,Designator,Footprint,JLCPCB Part #
TPSD226K025R0200,C10,CP_EIA-7343-31_Kemet-D,C284839
GRM32ER71E226KE15L,"C11,C13,C36,C39",C_1210_3225Metric,C21397
PCJ0J821MCL4GS,C12,CP_Elec_8x11.9,C2161767
GRM31C5C1H104JA01K,"C14,C23,C24",C_1206_3216Metric,C398933
GRM31C5C1H104JA01K,"C15,C37,C38",C_1206_3216Metric,C398933
CL10B104KB8NNNC,"C16,C19,C21,C25,C26,C27,C28,C29",C_0603_1608Metric,C1591
CL21B475KAFNNNE,"C17,C18",C_0805_2012Metric,C98195
GRM1885C1H103JA01D,"C20,C22",C_0603_1608Metric,C85973
CL21B104KBCNNNC,"C30,C31,C32,C33,C34,C35,C50,C51,C52",C_0805_2012Metric,C1711
TPSD226K025R0200,"C100,C102",CP_EIA-7343-31_Kemet-D,C284839
CL21B104KBCNNNC,"C101,C103",C_0805_2012Metric,C1711
1N4148W-7-F,"D10,D11",D_SOD-123,C83528
BZT52C6V8GW,D12,D_SOD-123,
0468001.NRHF,F1,Fuse_1206_3216Metric,C45157
046801.5NRHF,F2,Fuse_1206_3216Metric,C151143
KH-2.54FH-1X15P-H8.5,J3,Socket_Kinghelm_1x15_P2.54_H8.5,C2932676
KH-2.54FH-1X15P-H8.5,J4,Socket_Kinghelm_1x15_P2.54_H8.5,C2932676
KH-2.54FH-1X8P-H8.5,J5,Socket_Kinghelm_1x08_P2.54_H8.5,C2905417
FG-PM2.54-2-08P-H8.5,J6,Socket_FG_2x08_P2.54_H8.5,C25687193
AO3414,"Q10,Q11,Q23,Q24,Q26",SOT-23,C48850
2N7002LT1G,"Q12,Q13,Q14,Q15,Q18,Q21",SOT-23,C16338
AO3401A,"Q16,Q17,Q19,Q20",SOT-23,C15127
AO3400A,"Q22,Q101,Q102,Q103",SOT-23,C20917
MMBT3904LT1G,"Q50,Q51",SOT-23,C81464
RN73C1J51K1BTDF,R10,R_0603_1608Metric,C4226875
RT0603BRD07300RL,R11,R_0603_1608Metric,C705763
RC0603FR-074K7L,"R12,R20",R_0603_1608Metric,C99782
RC0603FR-0710KL,"R13,R18,R21,R23,R33,R38",R_0603_1608Metric,C98220
RC0603FR-07100KL,"R14,R15,R27,R28,R29,R34,R35",R_0603_1608Metric,C14675
RC0603FR-071KL,"R16,R17,R22,R24",R_0603_1608Metric,C22548
RC0603JR-070RL,R19,R_0603_1608Metric,C95177
RC0603FR-07390RL,R25,R_0603_1608Metric,C114620
RC0603FR-07100RL,R26,R_0603_1608Metric,C105588
RC0603FR-071K5L,R30,R_0603_1608Metric,C114668
RT0603BRD07221RL,R31,R_0603_1608Metric,C705749
RT0603BRD071KL,R32,R_0603_1608Metric,C110776
RN73C1J698RBTDF,R39,R_0603_1608Metric,
RC0603FR-07150RL,R40,R_0603_1608Metric,C114608
RC0805FR-0710KL,"R50,R52,R53,R55,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70",R_0805_2012Metric,C84376
RC0805FR-07100KL,"R51,R54",R_0805_2012Metric,C96346
RC0805FR-0733RL,"R56,R57,R58,R59,R60",R_0805_2012Metric,C126353
RC0805FR-07210RL,R100,R_0805_2012Metric,
RC0805FR-077R5L,R101,R_0805_2012Metric,
RC0805FR-07240RL,"R110,R115,R120",R_0805_2012Metric,C185292
RC0805FR-07100KL,"R111,R116,R121",R_0805_2012Metric,C96346
RC0805FR-07100RL,"R112,R117,R122",R_0805_2012Metric,C105577
RC0805FR-0710KL,"R113,R118,R123",R_0805_2012Metric,C84376
RC0805FR-07100KL,"R200,R201,R202,R203,R204,R205",R_0805_2012Metric,C96346
RC0805FR-0710KL,"R210,R211,R212,R213,R214,R215",R_0805_2012Metric,C84376
RT0805BRD07499RL,"R220,R221,R222,R223,R224,R225,R250,R251,R252,R253,R254,R255",R_0805_2012Metric,C865521
RC0805FR-07220RL,"R230,R231,R232,R233,R234,R235",R_0805_2012Metric,C114519
RT0805BRD0733KL,"R240,R241,R242,R243,R244,R245,R260,R261,R262,R263,R264,R265",R_0805_2012Metric,C728650
3296W-1-102LF,RV100,Potentiometer_Bourns_3296W_Vertical,C57089
LT3041ADE#TRPBF,U10,DFN-14-1EP_3x4mm_P0.5mm_EP1.7x3.3mm,C7452883
AP2112K-3.3TRG1,U11,SOT-23-5,C51118
TPS3840PL42DBVR,U12,SOT-23-5,
TPS3840PL30DBVR,U13,SOT-23-5,
TPS3840PL34DBVR,U14,SOT-23-5,C2871627
SN74LVC1G14DBVR,U15,SOT-23-5,C7835
LTV-817S-TA1-B,U16,SMDIP-4_W7.62mm,C109226
LM4050AIM3-4.1/NOPB,U17,SOT-23,C2156509
TLV3601DCKR,U18,SOT-353_SC-70-5,C2974371
SN74LVC1G132DBVR,U19,SOT-23-5,C403723
ADG4613BRUZ,"U30,U31,U32",TSSOP-16_4.4x5mm_P0.65mm,
OPA2325IDR,"U33,U34,U35",SOIC-8_3.9x4.9mm_P1.27mm,C2058909
SN74LVC2G125DCTR,"U50,U51,U52",TI_DCT0008A_SSOP8,C206035
LT1963AEQ#PBF,U100,TO-263-5_TabPin3,C20415348
LTV-847S,U101,SMDIP-16_W9.53mm,C114599
