Designator,Mid X,Mid Y,Rotation,Layer
C10,10.000000,122.000000,0.000000,Top
C11,26.500000,124.000000,90.000000,Top
C12,11.000000,137.000000,0.000000,Top
C13,26.500000,128.500000,0.000000,Top
C14,43.000000,82.000000,0.000000,Top
C15,22.000000,116.250000,270.000000,Top
C16,53.500000,78.000000,270.000000,Top
C17,38.500000,120.000000,90.000000,Top
C18,45.500000,120.000000,90.000000,Top
C19,48.000000,45.500000,0.000000,Top
C20,44.500000,49.000000,90.000000,Top
C21,57.000000,45.500000,0.000000,Top
C22,57.000000,52.000000,0.000000,Top
C23,49.000000,73.500000,0.000000,Top
C24,44.000000,71.500000,0.000000,Top
C25,58.000000,73.500000,0.000000,Top
C26,75.000000,112.000000,0.000000,Top
C27,75.000000,136.500000,90.000000,Top
C28,72.000000,115.000000,90.000000,Top
C29,53.000000,63.500000,0.000000,Top
C30,33.500000,42.266000,90.000000,Top
C31,33.500000,67.000000,90.000000,Top
C32,33.500000,90.816000,90.000000,Top
C33,22.190000,42.266000,270.000000,Top
C34,21.920000,67.050000,270.000000,Top
C35,22.285000,90.866000,270.000000,Top
C36,17.500000,123.000000,90.000000,Top
C37,25.300000,116.250000,270.000000,Top
C38,28.600000,116.250000,270.000000,Top
C39,31.500000,124.000000,0.000000,Top
C50,53.000000,23.500000,90.000000,Top
C51,63.000000,23.500000,90.000000,Top
C52,70.000000,16.500000,0.000000,Top
C100,76.750000,79.500000,0.000000,Top
C101,69.500000,79.000000,90.000000,Top
C102,76.750000,56.750000,0.000000,Top
C103,69.500000,56.500000,90.000000,Top
D10,55.000000,82.500000,0.000000,Top
D11,60.000000,82.500000,0.000000,Top
D12,44.500000,57.000000,90.000000,Top
F1,76.000000,101.000000,0.000000,Top
F2,77.000000,131.000000,0.000000,Top
J3,56.300000,28.000000,180.000000,Top
J4,56.300000,2.600000,180.000000,Top
J5,50.100000,34.025000,0.000000,Top
J6,50.100000,89.905000,0.000000,Top
Q10,48.000000,53.000000,0.000000,Top
Q11,52.500000,51.000000,0.000000,Top
Q12,48.000000,57.000000,0.000000,Top
Q13,48.500000,61.000000,0.000000,Top
Q14,53.500000,68.000000,0.000000,Top
Q15,54.000000,72.000000,90.000000,Top
Q16,75.000000,108.000000,0.000000,Top
Q17,75.000000,115.000000,0.000000,Top
Q18,68.000000,120.000000,0.000000,Top
Q19,71.000000,136.000000,0.000000,Top
Q20,78.000000,137.000000,0.000000,Top
Q21,58.000000,110.000000,0.000000,Top
Q22,52.750000,60.500000,0.000000,Top
Q23,57.500000,66.000000,90.000000,Top
Q24,52.000000,56.500000,90.000000,Top
Q26,44.500000,68.000000,0.000000,Top
Q50,50.000000,10.000000,0.000000,Top
Q51,61.000000,10.000000,0.000000,Top
Q101,21.112500,10.000000,180.000000,Top
Q102,12.607500,10.150000,180.000000,Top
Q103,4.112500,10.000000,180.000000,Top
R10,26.300000,119.750000,0.000000,Top
R11,17.000000,118.500000,0.000000,Top
R12,31.500000,127.000000,0.000000,Top
R13,45.500000,64.000000,90.000000,Top
R14,53.500000,75.000000,0.000000,Top
R15,45.500000,74.500000,90.000000,Top
R16,56.500000,63.000000,0.000000,Top
R17,57.000000,75.500000,0.000000,Top
R18,61.500000,70.000000,90.000000,Top
R19,61.000000,67.000000,0.000000,Top
R20,56.000000,77.500000,0.000000,Top
R21,77.500000,111.500000,90.000000,Top
R22,74.000000,118.000000,0.000000,Top
R23,75.500000,134.000000,0.000000,Top
R24,79.000000,134.000000,0.000000,Top
R25,56.000000,105.000000,0.000000,Top
R26,61.000000,65.000000,0.000000,Top
R27,57.000000,61.000000,0.000000,Top
R28,75.000000,105.000000,0.000000,Top
R29,71.000000,139.000000,0.000000,Top
R30,43.000000,74.000000,0.000000,Top
R31,49.000000,82.000000,90.000000,Top
R32,51.500000,82.000000,90.000000,Top
R33,43.500000,64.500000,90.000000,Top
R34,41.500000,68.000000,90.000000,Top
R35,56.500000,59.000000,0.000000,Top
R38,48.500000,76.500000,90.000000,Top
R39,30.000000,120.000000,0.000000,Top
R40,46.500000,78.000000,90.000000,Top
R50,50.000000,13.000000,0.000000,Top
R51,46.500000,11.500000,90.000000,Top
R52,52.666667,17.333333,0.000000,Top
R53,55.500000,11.500000,0.000000,Top
R54,57.000000,9.000000,0.000000,Top
R55,65.500000,11.500000,90.000000,Top
R56,49.000000,24.500000,0.000000,Top
R57,49.000000,17.500000,0.000000,Top
R58,59.000000,24.500000,0.000000,Top
R59,70.000000,9.500000,0.000000,Top
R60,74.000000,13.500000,90.000000,Top
R61,45.000000,21.000000,90.000000,Top
R62,54.000000,20.500000,0.000000,Top
R63,59.000000,17.500000,0.000000,Top
R64,66.000000,15.500000,90.000000,Top
R65,74.000000,16.500000,0.000000,Top
R66,46.000000,17.000000,90.000000,Top
R67,54.000000,15.000000,0.000000,Top
R68,64.000000,20.500000,0.000000,Top
R69,70.000000,7.000000,0.000000,Top
R70,76.500000,13.500000,90.000000,Top
R100,69.500000,68.000000,90.000000,Top
R101,69.500000,63.000000,90.000000,Top
R110,27.692500,23.700000,0.000000,Top
R111,27.500000,21.500000,0.000000,Top
R112,25.087500,9.000000,180.000000,Top
R113,25.000000,11.500000,180.000000,Top
R115,27.500000,19.000000,0.000000,Top
R116,27.500000,16.500000,0.000000,Top
R117,16.500000,9.000000,180.000000,Top
R118,16.500000,11.500000,180.000000,Top
R120,27.500000,14.000000,0.000000,Top
R121,28.000000,11.000000,90.000000,Top
R122,8.087500,9.000000,180.000000,Top
R123,8.000000,11.500000,180.000000,Top
R200,15.000000,48.266000,0.000000,Top
R201,15.000000,36.266000,0.000000,Top
R202,15.000000,73.000000,0.000000,Top
R203,15.000000,61.000000,0.000000,Top
R204,15.000000,96.816000,0.000000,Top
R205,15.000000,84.816000,0.000000,Top
R210,21.000000,48.266000,0.000000,Top
R211,21.000000,36.266000,0.000000,Top
R212,21.000000,73.000000,0.000000,Top
R213,21.000000,61.000000,0.000000,Top
R214,21.000000,96.816000,0.000000,Top
R215,21.000000,84.816000,0.000000,Top
R220,30.000000,48.266000,0.000000,Top
R221,30.000000,36.266000,0.000000,Top
R222,30.000000,73.000000,0.000000,Top
R223,30.000000,61.000000,0.000000,Top
R224,30.000000,96.816000,0.000000,Top
