Ref,Val,Package,PosX,PosY,Rot,Side
"C10","22uF 25V tantalum +/-10%","CP_EIA-7343-31_Kemet-D",22.000000,7.000000,0.000000,top
"C11","22uF 25V X7R +/-10%","C_1210_3225Metric",38.500000,9.000000,90.000000,top
"C12","820uF 6.3V polymer +/-20%","CP_Elec_8x11.9",23.000000,22.000000,0.000000,top
"C13","22uF 25V X7R +/-10%","C_1210_3225Metric",38.500000,13.500000,0.000000,top
"C14","100nF 5% C0G","C_1206_3216Metric",55.000000,-33.000000,0.000000,top
"C15","100nF 50V 5% C0G","C_1206_3216Metric",34.000000,1.250000,-90.000000,top
"C16","100nF 50V X7R","C_0603_1608Metric",65.500000,-37.000000,-90.000000,top
"C17","4.7uF 25V X7R","C_0805_2012Metric",50.500000,5.000000,90.000000,top
"C18","4.7uF 25V X7R","C_0805_2012Metric",57.500000,5.000000,90.000000,top
"C19","100nF 50V X7R","C_0603_1608Metric",60.000000,-69.500000,0.000000,top
"C20","10nF 5% C0G","C_0603_1608Metric",56.500000,-66.000000,90.000000,top
"C21","100nF 50V X7R","C_0603_1608Metric",69.000000,-69.500000,0.000000,top
"C22","10nF 5% C0G","C_0603_1608Metric",69.000000,-63.000000,0.000000,top
"C23","100nF 5% C0G","C_1206_3216Metric",61.000000,-41.500000,0.000000,top
"C24","100nF 5% C0G","C_1206_3216Metric",56.000000,-43.500000,0.000000,top
"C25","100nF 50V X7R","C_0603_1608Metric",70.000000,-41.500000,0.000000,top
"C26","100nF 50V X7R","C_0603_1608Metric",87.000000,-3.000000,0.000000,top
"C27","100nF 50V X7R","C_0603_1608Metric",87.000000,21.500000,90.000000,top
"C28","100nF 50V X7R","C_0603_1608Metric",84.000000,0.000000,90.000000,top
"C29","100nF 50V X7R","C_0603_1608Metric",65.000000,-51.500000,0.000000,top
"C30","100nF 50V X7R","C_0805_2012Metric",45.500000,-72.734000,90.000000,top
"C31","100nF 50V X7R","C_0805_2012Metric",45.500000,-48.000000,90.000000,top
"C32","100nF 50V X7R","C_0805_2012Metric",45.500000,-24.184000,90.000000,top
"C33","100nF 50V X7R","C_0805_2012Metric",34.190000,-72.734000,-90.000000,top
"C34","100nF 50V X7R","C_0805_2012Metric",33.920000,-47.950000,-90.000000,top
"C35","100nF 50V X7R","C_0805_2012Metric",34.285000,-24.134000,-90.000000,top
"C36","22uF 25V X7R +/-10%","C_1210_3225Metric",29.500000,8.000000,90.000000,top
"C37","100nF 50V 5% C0G","C_1206_3216Metric",37.300000,1.250000,-90.000000,top
"C38","100nF 50V 5% C0G","C_1206_3216Metric",40.600000,1.250000,-90.000000,top
"C39","22uF 25V X7R +/-10%","C_1210_3225Metric",43.500000,9.000000,0.000000,top
"C50","100nF 50V X7R","C_0805_2012Metric",65.000000,-91.500000,90.000000,top
"C51","100nF 50V X7R","C_0805_2012Metric",75.000000,-91.500000,90.000000,top
"C52","100nF 50V X7R","C_0805_2012Metric",82.000000,-98.500000,0.000000,top
"C100","22uF 25V 10% TPS","CP_EIA-7343-31_Kemet-D",88.750000,-35.500000,0.000000,top
"C101","100nF 50V X7R 10%","C_0805_2012Metric",81.500000,-36.000000,90.000000,top
"C102","22uF 25V 10% TPS","CP_EIA-7343-31_Kemet-D",88.750000,-58.250000,0.000000,top
"C103","100nF 50V X7R 10%","C_0805_2012Metric",81.500000,-58.500000,90.000000,top
"D10","1N4148W","D_SOD-123",67.000000,-32.500000,0.000000,top
"D11","1N4148W","D_SOD-123",72.000000,-32.500000,0.000000,top
"D12","BZT52C6V8GW","D_SOD-123",56.500000,-58.000000,90.000000,top
"F1","1A Slo-Blo","Fuse_1206_3216Metric",88.000000,-14.000000,0.000000,top
"F2","1.5A Slo-Blo","Fuse_1206_3216Metric",89.000000,16.000000,0.000000,top
"J3","1x15 female socket - row A","Socket_Kinghelm_1x15_P2.54_H8.5",86.080000,-87.000000,180.000000,top
"J4","1x15 female socket - row B","Socket_Kinghelm_1x15_P2.54_H8.5",86.080000,-112.400000,180.000000,top
"J5","1x8 female ADC digital socket","Socket_Kinghelm_1x08_P2.54_H8.5",53.210000,-80.975000,0.000000,top
"J6","2x8 female ADC analog socket","Socket_FG_2x08_P2.54_H8.5",53.210000,-23.825000,0.000000,top
"Q10","AO3414","SOT-23",60.000000,-62.000000,0.000000,top
"Q11","AO3414","SOT-23",64.500000,-64.000000,0.000000,top
"Q12","2N7002LT1G","SOT-23",60.000000,-58.000000,0.000000,top
"Q13","2N7002LT1G","SOT-23",60.500000,-54.000000,0.000000,top
"Q14","2N7002LT1G","SOT-23",65.500000,-47.000000,0.000000,top
"Q15","2N7002LT1G","SOT-23",66.000000,-43.000000,90.000000,top
"Q16","AO3401A","SOT-23",87.000000,-7.000000,0.000000,top
"Q17","AO3401A","SOT-23",87.000000,0.000000,0.000000,top
"Q18","2N7002LT1G","SOT-23",80.000000,5.000000,0.000000,top
"Q19","AO3401A","SOT-23",83.000000,21.000000,0.000000,top
"Q20","AO3401A","SOT-23",90.000000,22.000000,0.000000,top
"Q21","2N7002LT1G","SOT-23",70.000000,-5.000000,0.000000,top
"Q22","AO3400A","SOT-23",64.750000,-54.500000,0.000000,top
"Q23","AO3414","SOT-23",69.500000,-49.000000,90.000000,top
"Q24","AO3414","SOT-23",64.000000,-58.500000,90.000000,top
"Q26","AO3414","SOT-23",56.500000,-47.000000,0.000000,top
"Q50","MMBT3904LT1G","SOT-23",62.000000,-105.000000,0.000000,top
"Q51","MMBT3904LT1G","SOT-23",73.000000,-105.000000,0.000000,top
"Q101","AO3400A","SOT-23",33.112500,-105.000000,180.000000,top
"Q102","AO3400A","SOT-23",24.607500,-104.850000,180.000000,top
"Q103","AO3400A","SOT-23",16.112500,-105.000000,180.000000,top
"R10","51.1k 0.1% 10ppm/K","R_0603_1608Metric",38.300000,4.750000,0.000000,top
"R11","300 0.1%","R_0603_1608Metric",29.000000,3.500000,0.000000,top
"R12","4.7k 1%","R_0603_1608Metric",43.500000,12.000000,0.000000,top
"R13","10k 1%","R_0603_1608Metric",57.500000,-51.000000,90.000000,top
"R14","100k 1%","R_0603_1608Metric",65.500000,-40.000000,0.000000,top
"R15","100k 1%","R_0603_1608Metric",57.500000,-40.500000,90.000000,top
"R16","1k 1%","R_0603_1608Metric",68.500000,-52.000000,0.000000,top
"R17","1k 1%","R_0603_1608Metric",69.000000,-39.500000,0.000000,top
"R18","10k 1%","R_0603_1608Metric",73.500000,-45.000000,90.000000,top
"R19","0","R_0603_1608Metric",73.000000,-48.000000,0.000000,top
"R20","4.7k 1%","R_0603_1608Metric",68.000000,-37.500000,0.000000,top
"R21","10k 1%","R_0603_1608Metric",89.500000,-3.500000,90.000000,top
"R22","1k 1%","R_0603_1608Metric",86.000000,3.000000,0.000000,top
"R23","10k 1%","R_0603_1608Metric",87.500000,19.000000,0.000000,top
"R24","1k 1%","R_0603_1608Metric",91.000000,19.000000,0.000000,top
"R25","390 1%","R_0603_1608Metric",68.000000,-10.000000,0.000000,top
"R26","100 1%","R_0603_1608Metric",73.000000,-50.000000,0.000000,top
"R27","100k 1%","R_0603_1608Metric",69.000000,-54.000000,0.000000,top
"R28","100k 1%","R_0603_1608Metric",87.000000,-10.000000,0.000000,top
"R29","100k 1%","R_0603_1608Metric",83.000000,24.000000,0.000000,top
"R30","1.5k 1%","R_0603_1608Metric",55.000000,-41.000000,0.000000,top
"R31","221 0.1% 25ppm/K","R_0603_1608Metric",61.000000,-33.000000,90.000000,top
"R32","1.00k 0.1% 25ppm/K","R_0603_1608Metric",63.500000,-33.000000,90.000000,top
"R33","10k 1%","R_0603_1608Metric",55.500000,-50.500000,90.000000,top
"R34","100k 1%","R_0603_1608Metric",53.500000,-47.000000,90.000000,top
"R35","100k 1%","R_0603_1608Metric",68.500000,-56.000000,0.000000,top
"R38","10k 1%","R_0603_1608Metric",60.500000,-38.500000,90.000000,top
"R39","698 0.1% 10ppm/K","R_0603_1608Metric",42.000000,5.000000,0.000000,top
"R40","150 1%","R_0603_1608Metric",58.500000,-37.000000,90.000000,top
"R50","10k","R_0805_2012Metric",62.000000,-102.000000,0.000000,top
"R51","100k","R_0805_2012Metric",58.500000,-103.500000,90.000000,top
"R52","10k","R_0805_2012Metric",64.666667,-97.666667,0.000000,top
"R53","10k","R_0805_2012Metric",67.500000,-103.500000,0.000000,top
"R54","100k","R_0805_2012Metric",69.000000,-106.000000,0.000000,top
"R55","10k","R_0805_2012Metric",77.500000,-103.500000,90.000000,top
"R56","33","R_0805_2012Metric",61.000000,-90.500000,0.000000,top
"R57","33","R_0805_2012Metric",61.000000,-97.500000,0.000000,top
"R58","33","R_0805_2012Metric",71.000000,-90.500000,0.000000,top
"R59","33","R_0805_2012Metric",82.000000,-105.500000,0.000000,top
"R60","33","R_0805_2012Metric",86.000000,-101.500000,90.000000,top
"R61","10k","R_0805_2012Metric",57.000000,-94.000000,90.000000,top
"R62","10k","R_0805_2012Metric",66.000000,-94.500000,0.000000,top
"R63","10k","R_0805_2012Metric",71.000000,-97.500000,0.000000,top
"R64","10k","R_0805_2012Metric",78.000000,-99.500000,90.000000,top
"R65","10k","R_0805_2012Metric",86.000000,-98.500000,0.000000,top
"R66","10k","R_0805_2012Metric",58.000000,-98.000000,90.000000,top
"R67","10k","R_0805_2012Metric",66.000000,-100.000000,0.000000,top
"R68","10k","R_0805_2012Metric",76.000000,-94.500000,0.000000,top
"R69","10k","R_0805_2012Metric",82.000000,-108.000000,0.000000,top
"R70","10k","R_0805_2012Metric",88.500000,-101.500000,90.000000,top
"R100","210R 1% 0.125W","R_0805_2012Metric",81.500000,-47.000000,90.000000,top
"R101","7R5 1% 0.125W","R_0805_2012Metric",81.500000,-52.000000,90.000000,top
